亚	B-CAR
洲	I-CAR
龙	I-CAR
彩	O
夺	O
目	O
的	O
外	O
观	O
,	O
很	O
喜	O
欢	O
外	O
观	O
,	O
大	O
家	O
都	O
说	O
车	O
子	O
其	O
实	O
相	O
当	O
于	O
一	O
个	O
人	O
的	O
第	O
二	O
个	O
家	O
,	O
而	O
且	O
我	O
觉	O
得	O
有	O
的	O
时	O
候	O
,	O
就	O
很	O
喜	O
欢	O
在	O
车	O
里	O
静	O
静	O
的	O
坐	O
着	O
,	O
思	O
考	O
着	O
一	O
些	O
人	O
生	O
遇	O
到	O
的	O
问	O
题	O
。	O
所	O
以	O
买	O
了	O
车	O
,	O
还	O
是	O
喜	O
欢	O
那	O
种	O
温	O
馨	O
感	O
比	O
较	O
强	O
的	O
车	O
吧	O
,	O
毕	O
竟	O
家	O
都	O
是	O
很	O
温	O
暖	O
的	O
感	O
觉	O
,	O
而	O
且	O
没	O
有	O
那	O
种	O
很	O
冷	O
酷	O
的	O
味	O
道	O
,	O
首	O
先	O
我	O
觉	O
得	O
那	O
是	O
自	O
让	O
我	O
决	O
定	O
买	O
这	O
个	O
车	O
的	O
原	O
因	O
,	O
嗯	O
,	O
那	O
是	O
看	O
起	O
来	O
就	O
是	O
那	O
种	O
很	O
温	O
馨	O
的	O
感	O
觉	O
,	O
没	O
有	O
那	O
种	O
冰	O
冷	O
嗯	O
,	O
味	O
道	O
,	O
所	O
以	O
我	O
比	O
起	O
外	O
观	O
,	O
我	O
觉	O
得	O
内	O
饰	O
的	O
温	O
暖	O
感	O
,	O
更	O
让	O
我	O
觉	O
得	O
舒	O
服	O
。	O
刚	O
买	O
这	O
个	O
车	O
子	O
的	O
时	O
候	O
,	O
有	O
一	O
个	O
稍	O
微	O
一	O
力	O
度	O
比	O
较	O
大	O
的	O
活	O
动	O
,	O
我	O
买	O
领	O
到	O
了	O
很	O
多	O
赠	O
品	O
,	O
我	O
都	O
觉	O
得	O
买	O
车	O
还	O
是	O
挺	O
合	O
适	O
的	O
,	O
虽	O
然	O
说	O
目	O
前	O
开	O
的	O
月	O
份	O
不	O
是	O
很	O
久	O
,	O
但	O
是	O
我	O
感	O
觉	O
目	O
前	O
开	O
的	O
手	O
感	O
还	O
是	O
很	O
不	O
错	O
的	O
。	O
