哈	B-BRAND
弗	I-BRAND
的	O
品	O
牌	O
力	O
和	O
亲	O
民	O
的	O
价	O
格	O
是	O
吸	O
引	O
我	O
的	O
首	O
要	O
原	O
因	O
,	O
动	O
力	O
方	O
面	O
1	O
.	O
5	O
T	O
,	O
自	O
动	O
挡	O
,	O
紧	O
凑	O
S	O
U	O
V	O
的	O
空	O
间	O
(	O
跟	O
中	O
型	O
S	O
U	O
V	O
有	O
的	O
比	O
)	O
,	O
价	O
格	O
8	O
W	O
左	O
右	O
(	O
2	O
0	O
1	O
8	O
改	O
款	O
自	O
精	O
)	O
,	O
安	O
全	O
系	O
统	O
全	O
面	O
,	O
真	O
的	O
是	O
厚	O
道	O
；	O
另	O
外	O
油	O
耗	O
方	O
面	O
比	O
较	O
适	O
合	O
我	O
,	O
因	O
为	O
我	O
不	O
经	O
常	O
在	O
市	O
区	O
或	O
拥	O
堵	O
的	O
路	O
况	O
开	O
,	O
一	O
般	O
周	O
末	O
、	O
下	O
雨	O
天	O
出	O
差	O
才	O
用	O
车	O
,	O
而	O
且	O
油	O
耗	O
跟	O
个	O
人	O
驾	O
驶	O
习	O
惯	O
有	O
关	O
,	O
我	O
现	O
在	O
开	O
1	O
0	O
0	O
0	O
多	O
公	O
里	O
,	O
表	O
显	O
油	O
耗	O
百	O
公	O
里	O
8	O
.	O
0	O
L	O
左	O
右	O
,	O
由	O
于	O
还	O
是	O
见	O
习	O
期	O
,	O
不	O
能	O
上	O
高	O
速	O
,	O
等	O
能	O
上	O
了	O
应	O
该	O
还	O
能	O
降	O
点	O
吧	O
。	O
内	O
饰	O
虽	O
有	O
点	O
廉	O
价	O
感	O
,	O
不	O
过	O
花	O
个	O
2	O
0	O
0	O
-	O
3	B-CAR
0	I-CAR
0	I-CAR
可	O
以	O
装	O
饰	O
的	O
很	O
好	O
看	O
了	O
,	O
感	O
觉	O
性	O
价	O
比	O
还	O
是	O
很	O
高	O
的	O
。	O
比	O
起	O
同	O
级	O
别	O
紧	O
凑	O
型	O
S	O
U	O
V	O
价	O
格	O
便	O
宜	O
不	O
是	O
一	O
点	O
点	O
,	O
最	O
受	O
诟	O
病	O
的	O
油	O
耗	O
对	O
我	O
来	O
说	O
就	O
可	O
以	O
忽	O
略	O
不	O
计	O
了	O
。	O
