奔	B-BRAND
驰	I-BRAND
品	O
牌	O
无	O
限	O
加	O
分	O
,	O
看	O
这	O
个	O
车	O
已	O
经	O
看	O
了	O
一	O
年	O
多	O
了	O
,	O
第	O
一	O
次	O
去	O
看	O
的	O
时	O
候	O
记	O
得	O
还	O
要	O
加	O
价	O
,	O
G	B-CAR
L	I-CAR
C	I-CAR
6	O
0	O
豪	O
华	O
那	O
时	O
候	O
销	O
售	O
跟	O
我	O
说	O
落	O
地	O
要	O
5	O
2	O
万	O
左	O
右	O
,	O
价	O
格	O
离	O
心	O
理	O
价	O
位	O
有	O
点	O
远	O
,	O
而	O
且	O
刚	O
刚	O
毕	O
业	O
,	O
没	O
有	O
什	O
么	O
理	O
由	O
直	O
接	O
买	O
这	O
么	O
贵	O
的	O
车	O
,	O
直	O
到	O
今	O
年	O
,	O
因	O
为	O
1	O
0	O
月	O
份	O
要	O
结	O
婚	O
了	O
,	O
结	O
婚	O
要	O
买	O
新	O
车	O
,	O
4	O
月	O
份	O
爸	O
妈	O
带	O
着	O
去	O
4	O
S	O
看	O
了	O
车	O
,	O
那	O
时	O
候	O
在	O
网	O
上	O
研	O
究	O
了	O
好	O
久	O
,	O
看	O
中	O
了	O
月	O
光	O
石	O
灰	O
这	O
个	O
颜	O
色	O
,	O
也	O
基	O
本	O
了	O
解	O
我	O
们	O
地	O
区	O
的	O
价	O
格	O
以	O
后	O
去	O
谈	O
,	O
谈	O
到	O
了	O
还	O
是	O
比	O
较	O
理	O
想	O
的	O
价	O
格	O
,	O
谁	O
知	O
道	O
这	O
个	O
颜	O
色	O
要	O
等	O
3	O
个	O
月	O
,	O
因	O
为	O
喜	O
欢	O
,	O
只	O
能	O
等	O
,	O
然	O
后	O
迎	O
来	O
了	O
一	O
波	O
大	O
降	O
价	O
,	O
但	O
是	O
因	O
为	O
定	O
的	O
早	O
,	O
错	O
过	O
了	O
这	O
波	O
降	O
价	O
,	O
跟	O
七	O
月	O
份	O
一	O
起	O
买	O
的	O
车	O
友	O
相	O
比	O
,	O
明	O
明	O
是	O
一	O
样	O
的	O
车	O
,	O
除	O
了	O
颜	O
色	O
不	O
同	O
,	O
贵	O
了	O
一	O
万	O
多	O
,	O
心	O
痛	O
。	O
