荣	B-CAR
放	I-CAR
熟	O
的	O
技	O
术	O
我	O
选	O
择	O
的	O
,	O
因	O
为	O
现	O
在	O
车	O
的	O
发	O
动	O
机	O
已	O
经	O
很	O
成	O
熟	O
的	O
,	O
而	O
且	O
他	O
们	O
已	O
经	O
把	O
油	O
耗	O
做	O
到	O
了	O
一	O
个	O
极	O
致	O
,	O
油	O
耗	O
是	O
很	O
低	O
的	O
,	O
而	O
且	O
外	O
观	O
看	O
上	O
去	O
也	O
是	O
很	O
年	O
轻	O
很	O
时	O
尚	O
的	O
,	O
前	O
面	O
的	O
车	O
灯	O
我	O
觉	O
得	O
特	O
别	O
的	O
有	O
特	O
点	O
,	O
看	O
着	O
也	O
十	O
分	O
的	O
舒	O
服	O
,	O
而	O
且	O
都	O
说	O
这	O
个	O
车	O
子	O
的	O
维	O
修	O
率	O
也	O
不	O
是	O
很	O
高	O
,	O
这	O
样	O
的	O
车	O
子	O
我	O
相	O
信	O
,	O
大	O
部	O
分	O
的	O
人	O
都	O
会	O
选	O
择	O
。	O
而	O
且	O
我	O
觉	O
得	O
这	O
车	O
子	O
给	O
我	O
的	O
感	O
觉	O
是	O
特	O
别	O
有	O
安	O
全	O
感	O
,	O
而	O
且	O
还	O
很	O
可	O
靠	O
的	O
车	O
子	O
,	O
小	O
毛	O
病	O
是	O
很	O
少	O
的	O
,	O
而	O
且	O
开	O
几	O
年	O
也	O
是	O
很	O
爱	O
开	O
的	O
,	O
我	O
相	O
信	O
我	O
不	O
会	O
经	O
常	O
的	O
去	O
换	O
车	O
。	O
这	O
一	O
点	O
让	O
我	O
的	O
感	O
觉	O
也	O
是	O
很	O
好	O
的	O
。	O
明	O
媚	O
的	O
生	O
活	O
,	O
让	O
我	O
觉	O
得	O
开	O
车	O
还	O
是	O
比	O
较	O
好	O
的	O
一	O
种	O
享	O
受	O
,	O
打	O
算	O
有	O
一	O
天	O
带	O
着	O
很	O
多	O
的	O
衣	O
服	O
,	O
开	O
着	O
我	O
的	O
小	O
车	O
,	O
去	O
各	O
种	O
各	O
样	O
的	O
地	O
方	O
,	O
去	O
拍	O
照	O
,	O
跟	O
我	O
的	O
小	O
车	O
有	O
个	O
约	O
会	O
。	O
喜	O
欢	O
满	O
满	O
都	O
是	O
比	O
较	O
多	O
的	O
纪	O
念	O
的	O
滋	O
味	O
。	O
