小	B-CAR
六	I-CAR
价	O
格	O
真	O
不	O
贵	O
,	O
买	O
车	O
的	O
时	O
候	O
一	O
直	O
觉	O
得	O
起	O
码	O
要	O
准	O
备	O
个	O
十	O
五	O
万	O
,	O
手	O
里	O
头	O
也	O
紧	O
。	O
试	O
驾	O
就	O
发	O
现	O
这	O
是	O
一	O
款	O
比	O
较	O
全	O
面	O
满	O
意	O
度	O
高	O
的	O
车	O
,	O
以	O
S	O
U	O
V	O
出	O
名	O
的	O
哈	B-BRAND
弗	I-BRAND
品	O
牌	O
从	O
一	O
开	O
始	O
我	O
就	O
是	O
比	O
较	O
认	O
可	O
的	O
,	O
可	O
以	O
说	O
这	O
爱	O
那	O
个	O
车	O
的	O
颜	O
值	O
很	O
高	O
,	O
内	O
在	O
合	O
理	O
。	O
从	O
外	O
观	O
到	O
性	O
能	O
都	O
不	O
错	O
,	O
有	O
现	O
代	O
感	O
的	O
设	O
计	O
风	O
格	O
,	O
强	O
悍	O
的	O
动	O
力	O
非	O
常	O
抢	O
眼	O
,	O
属	O
于	O
这	O
个	O
级	O
别	O
中	O
数	O
一	O
数	O
二	O
的	O
车	O
了	O
。	O
我	O
也	O
是	O
综	O
合	O
考	O
虑	O
了	O
多	O
方	O
面	O
最	O
后	O
才	O
决	O
定	O
的	O
,	O
经	O
销	O
商	O
的	O
服	O
务	O
态	O
度	O
也	O
很	O
不	O
错	O
,	O
操	O
作	O
这	O
方	O
面	O
的	O
问	O
题	O
我	O
也	O
问	O
了	O
很	O
久	O
,	O
毕	O
竟	O
是	O
新	O
车	O
刚	O
到	O
手	O
按	O
键	O
不	O
是	O
很	O
熟	O
悉	O
,	O
他	O
们	O
也	O
很	O
有	O
耐	O
心	O
的	O
给	O
我	O
讲	O
解	O
,	O
特	O
别	O
是	O
多	O
媒	O
体	O
使	O
用	O
这	O
方	O
面	O
,	O
演	O
示	O
的	O
非	O
常	O
细	O
致	O
,	O
服	O
务	O
态	O
度	O
没	O
的	O
说	O
,	O
必	O
须	O
给	O
五	O
星	O
好	O
评	O
。	O
